t;x;vx;ax;frame;px;K;
1,351;0,111;3,782E-2;0,216;221;3,782E-2;7,152E-4
1,367;0,112;5,547E-2;0,346;222;5,547E-2;1,539E-3
1,384;0,112;4,791E-2;0,735;223;4,791E-2;1,148E-3
1,401;0,113;7,312E-2;0,821;224;7,312E-2;2,686E-3
1,417;0,115;8,825E-2;1,167;225;8,825E-2;3,945E-3
1,434;0,116;9,834E-2;0,389;226;9,834E-2;4,886E-3
1,451;0,118;0,113;1,340;227;0,113;6,488E-3
1,467;0,120;0,131;0,432;228;0,131;8,595E-3
1,484;0,123;0,141;-0,346;229;0,141;1,008E-2
1,501;0,125;0,111;0,000;230;0,111;6,269E-3
1,517;0,126;0,136;-8,645E-2;231;0,136;9,298E-3
1,534;0,129;0,126;-0,692;232;0,126;7,947E-3
1,551;0,130;9,329E-2;-0,821;233;9,329E-2;4,380E-3
1,568;0,132;0,108;2,032;234;0,108;5,957E-3
1,584;0,134;0,154;2,377;235;0,154;1,191E-2
1,601;0,137;0,199;-0,389;236;0,199;1,987E-2
1,618;0,141;0,144;-1,945;237;0,144;1,033E-2
1,634;0,142;0,113;0,735;238;0,113;6,450E-3
1,651;0,144;0,179;1,426;239;0,179;1,602E-2
1,668;0,148;0,174;-1,254;240;0,174;1,513E-2
1,684;0,150;0,121;-1,470;241;0,121;7,324E-3
1,701;0,152;0,126;1,729;242;0,126;7,950E-3
1,718;0,154;0,179;0,699;243;0,179;1,603E-2
1,734;0,158;0,158;-1,975;244;0,158;1,259E-2
1,751;0,160;8,885E-2;-0,782;245;8,885E-2;3,959E-3
1,768;0,161;0,131;1,810;246;0,131;8,599E-3
1,784;0,164;0,179;0,475;247;0,179;1,602E-2
1,801;0,167;0,139;-1,772;248;0,139;9,616E-3
1,818;0,169;0,113;-0,389;249;0,113;6,440E-3
1,834;0,171;0,129;1,686;250;0,129;8,271E-3
1,851;0,173;0,169;0,908;251;0,169;1,427E-2
1,868;0,177;0,169;-0,648;252;0,169;1,430E-2
1,884;0,179;0,136;-1,643;253;0,136;9,298E-3
1,901;0,181;0,119;-0,735;254;0,119;7,035E-3
1,918;0,183;0,108;-0,130;255;0,108;5,881E-3
1,934;0,185;0,116;8,645E-2;256;0,116;6,755E-3
1,951;0,187;0,113;-1,081;257;0,113;6,466E-3
1,968;0,189;8,069E-2;-2,075;258;8,069E-2;3,306E-3
1,984;0,189;4,034E-2;1,556;259;4,034E-2;1,198E-3
2,001;0,190;0,119;0,735;260;0,119;7,407E-3
2,018;0,193;0,108;-1,081;261;0,108;5,928E-3
2,034;0,193;3,530E-2;-1,729;262;3,530E-2;6,230E-4
2,051;0,195;7,312E-2;0,216;263;7,312E-2;2,673E-3
2,068;0,196;4,539E-2;-0,951;264;4,539E-2;1,033E-3
2,084;0,196;2,774E-2;-0,475;265;2,774E-2;3,878E-4
2,101;0,197;4,034E-2;-0,173;266;4,034E-2;8,170E-4
2,118;0,197;2,017E-2;-1,037;267;2,017E-2;2,066E-4
2,135;0,198;2,521E-3;-0,216;268;2,521E-3;3,179E-6
2,151;0,198;1,261E-2;0,389;269;1,261E-2;7,947E-5
2,168;0,198;2,017E-2;-0,346;270;2,017E-2;2,034E-4
2,185;0,198;0,000;-1,815;271;0,000;1,272E-5
2,201;0,198;-4,034E-2;-1,470;272;-4,034E-2;8,646E-4
2,218;0,197;-5,547E-2;8,645E-2;273;-5,547E-2;1,551E-3
2,235;0,196;-3,278E-2;0,908;274;-3,278E-2;5,372E-4
